RouteName,Email,Column1
BRC-tbz02 wk 1,invoice@swvp.com,18078
BRC-tbz02 wk 2,invoice@swvp.com,18078
BRC-tbz02 wk 3,invoice@swvp.com,18078
BRC-tbz02 wk 4,invoice@swvp.com,18078
BRC-tbz02 wk 1,Frederick.oneal@cushwake.com,18105
BRC-tbz02 wk 2,Frederick.oneal@cushwake.com,18105
BRC-tbz02 wk 3,Frederick.oneal@cushwake.com,18105
BRC-tbz02 wk 4,Frederick.oneal@cushwake.com,18105
BRC-rbz02 week 2,AP_Nashville@highwoods.com,17927
BRC-rbz02 week 4,AP_Nashville@highwoods.com,17927
BRC-tbz01 week 1,ap@4patriots.com,18103
BRC-tbz01 week 3,ap@4patriots.com,18103
BRC-fbz01 week 1,smcgilberry@nashvillesports.com,18016
BRC-fbz01 week 3,smcgilberry@nashvillesports.com,18016
BRC-fbz01 week 4,smcgilberry@nashvillesports.com,18016
BRC-fbz01 week 2,Lamont.Hill@jll.com,18059
BRC-fbz01 week 4,Lamont.Hill@jll.com,18059
BRC-tbz01 week 2,billing@6thmanmovers.com,17934
BRC-tbz01 week 4,billing@6thmanmovers.com,17934
BRC-rbz02 week 1,mary@accentinbrentwood.com,17936
BRC-rbz02 week 3,mary@accentinbrentwood.com,17936
BRC-wbz01 week 1,cassandra.a.fuller@accenture.com,18174
BRC-wbz01 week 3,cassandra.a.fuller@accenture.com,18174
BRC-tbz01 week 2,kjohnson@acceptanceinsurance.com,17982
BRC-tbz01 week 4,kjohnson@acceptanceinsurance.com,17982
BRC-tbz01 week 2,adina@accuworks.com,18068
BRC-tbz01 week 4,adina@accuworks.com,18068
BRC-tbz01 week 3,accounting@acumentechnoloy.com,18081
BRC-tbz01 week 1,madams@af247.com,18162
BRC-tbz01 week 2,madams@af247.com,18162
BRC-tbz01 week 3,madams@af247.com,18162
BRC-tbz01 week 4,madams@af247.com,18162
BRC-rbz02 week 2,abaker@advocacytrust.com,18173
BRC-rbz02 week 4,abaker@advocacytrust.com,18173
BRC-mcm01 week 1,kanda.hyde@aecom.com,18146
BRC-mcm01 week 3,kanda.hyde@aecom.com,18146
BRC-tbz01 week 1,eescamilla@aegpresents.com,18030
BRC-tbz01 week 3,eescamilla@aegpresents.com,18030
BRC-tbz01 week 1,dalcaraz@alfredwilliams.com,17937
BRC-tbz01 week 2,dalcaraz@alfredwilliams.com,17937
BRC-tbz01 week 3,dalcaraz@alfredwilliams.com,17937
BRC-tbz01 week 4,dalcaraz@alfredwilliams.com,17937
BRC-wbz02 week 2,dspeer@argretailers.com,17938
BRC-wbz02 week 4,dspeer@argretailers.com,17938
BRC-tbz02 wk 2,andrea@altoira.com,18130
BRC-tbz02 wk 4,andrea@altoira.com,18130
BRC-fbz01 week 1,Elizabeth.Alevizos@cbre.com,18128
BRC-fbz01 week 2,Elizabeth.Alevizos@cbre.com,18128
BRC-fbz01 week 3,Elizabeth.Alevizos@cbre.com,18128
BRC-fbz01 week 4,Elizabeth.Alevizos@cbre.com,18128
BRC-tbz02 wk 1,Elizabeth.Alevizos@cbre.com,18128
BRC-tbz02 wk 2,Elizabeth.Alevizos@cbre.com,18128
BRC-tbz02 wk 3,Elizabeth.Alevizos@cbre.com,18128
BRC-tbz02 wk 4,Elizabeth.Alevizos@cbre.com,18128
BRC-tbz01 week 1,eric.courtade@amedisys.com,17128
BRC-tbz01 week 2,eric.courtade@amedisys.com,17128
BRC-tbz01 week 3,eric.courtade@amedisys.com,17128
BRC-tbz01 week 4,eric.courtade@amedisys.com,17128
BRC-tbz01 week 2,KAT.CARTER@abrholdings.COM,17939
BRC-tbz01 week 4,KAT.CARTER@abrholdings.COM,17939
BRC-fbz01 week 1,abynum@cri-us.com,17940
BRC-fbz01 week 2,abynum@cri-us.com,17940
BRC-fbz01 week 3,abynum@cri-us.com,17940
BRC-fbz01 week 4,abynum@cri-us.com,17940
BRC-wbz01 week 1,abynum@cri-us.com,17940
BRC-wbz01 week 2,abynum@cri-us.com,17940
BRC-wbz01 week 3,abynum@cri-us.com,17940
BRC-wbz01 week 4,abynum@cri-us.com,17940
BRC-rbz02 week 2,mmccall@americanconstructors.us,17941
BRC-rbz02 week 4,mmccall@americanconstructors.us,17941
BRC-tbz03 week 1,baileyl@americanstandard.com,17942
BRC-tbz03 week 3,baileyl@americanstandard.com,17942
BRC-tbz01 week 1,martin@andersonpiping.com,17943
BRC-tbz01 week 3,martin@andersonpiping.com,17943
BRC-rcm01 week 1,dnordquist@anecdotexp.com,18124
BRC-rcm01 week 2,dnordquist@anecdotexp.com,18124
BRC-rcm01 week 3,dnordquist@anecdotexp.com,18124
BRC-rcm01 week 4,dnordquist@anecdotexp.com,18124
BRC-rbz02 week 2,Cboczulak@apexsystemsinc.com,18043
BRC-rbz02 week 4,Cboczulak@apexsystemsinc.com,18043
BRC-wbz02 week 1,emcnamara@apclp.com,17243
BRC-wbz02 week 2,emcnamara@apclp.com,17243
BRC-wbz02 week 3,emcnamara@apclp.com,17243
BRC-wbz02 week 4,emcnamara@apclp.com,17243
BRC-rbz02 week 2,twilson@aquaeter.com,17944
BRC-mcm01 week 2,tracey.riggenbach@arcelormittal.com,18179
BRC-mcm01 week 4,tracey.riggenbach@arcelormittal.com,18179
BRC-wbz01 week 1,aharvey3@wm.com,17945
BRC-wbz01 week 2,aharvey3@wm.com,17945
BRC-wbz01 week 3,aharvey3@wm.com,17945
BRC-wbz01 week 4,aharvey3@wm.com,17945
BRC-wbz01 week 1,HubGlobalSuppliers@hubinternational.com,18003
BRC-wbz01 week 3,HubGlobalSuppliers@hubinternational.com,18003
BRC-fbz01 week 2,emathis@banccard.com,17947
BRC-fbz01 week 4,emathis@banccard.com,17947
BRC-rbz02 week 1,canthony@bankdirector.com,17948
BRC-rbz02 week 3,canthony@bankdirector.com,17948
BRC-rbz02 week 1,invoices@rubicon.com,18462
BRC-rbz02 week 2,invoices@rubicon.com,18462
BRC-rbz02 week 3,invoices@rubicon.com,18462
BRC-rbz02 week 4,invoices@rubicon.com,18462
BRC-mcm01 week 1,invoices@rubicon.com,18462
BRC-mcm01 week 3,invoices@rubicon.com,18462
BRC-mcm02 week 1-1,invoices@rubicon.com,18462
BRC-mcm02 week 3-1,invoices@rubicon.com,18462
BRC-wbz02 week 2,invoices@rubicon.com,18462
BRC-wbz02 week 4,invoices@rubicon.com,18462
BRC-wbz02 week 4,invoices@rubicon.com,18462
BRC-wbz02 week 2,invoices@rubicon.com,18462
BRC-wbz02 week 4,invoices@rubicon.com,18462
BRC-mcm02 week 1-1,invoices@rubicon.com,18462
BRC-mcm02 week 3-1,invoices@rubicon.com,18462
BRC-glass01 week 1-4,Finance@roadrunnerwm.com,18165
BRC-glass01 week 2-4,Finance@roadrunnerwm.com,18165
BRC-glass01 week 3-4,Finance@roadrunnerwm.com,18165
BRC-glass01 week 4-4,Finance@roadrunnerwm.com,18165
BRC-rcm01 week 1,Finance@roadrunnerwm.com,18165
BRC-rcm01 week 2,Finance@roadrunnerwm.com,18165
BRC-rcm01 week 3,Finance@roadrunnerwm.com,18165
BRC-rcm01 week 4,Finance@roadrunnerwm.com,18165
BRC-wbz01 week 1,utilities@bluepearlvet.com,17950
BRC-wbz01 week 2,utilities@bluepearlvet.com,17950
BRC-wbz01 week 3,utilities@bluepearlvet.com,17950
BRC-wbz01 week 4,utilities@bluepearlvet.com,17950
BRC-rbz02 week 2,lhall@bluwave.net,18141
BRC-rbz02 week 4,lhall@bluwave.net,18141
BRC-tbz01 week 1,paula.nelson@bmg.com,18170
BRC-tbz01 week 3,paula.nelson@bmg.com,18170
BRC-tbz01 week 3,bormanrec@bormantn.com,17951
BRC-rbz02 week 2,fchildress@brookdaleliving.com,17928
BRC-tbz03 week 1,wraines@brwncald.com,18102
BRC-tbz03 week 3,wraines@brwncald.com,18102
BRC-mcm01 week 1,snicholson@buergerlaw.com,18177
BRC-mcm01 week 3,snicholson@buergerlaw.com,18177
BRC-wbz01 week 1,accountspayable@bufex.com,18104
BRC-wbz01 week 2,accountspayable@bufex.com,18104
BRC-wbz01 week 3,accountspayable@bufex.com,18104
BRC-wbz01 week 4,accountspayable@bufex.com,18104
BRC-tbz01 week 1,moneke.burks@getbuilt.com,18139
BRC-tbz01 week 2,moneke.burks@getbuilt.com,18139
BRC-tbz01 week 3,moneke.burks@getbuilt.com,18139
BRC-tbz01 week 4,moneke.burks@getbuilt.com,18139
BRC-rbz02 week 2,tbulso@bulso.com,18096
BRC-rbz02 week 4,tbulso@bulso.com,18096
BRC-tbz02 wk 1,jon.tate@caa.com,18061
BRC-tbz02 wk 3,jon.tate@caa.com,18061
BRC-tbz01 week 1,kdrenth@ccorpusa.com,18397
BRC-tbz01 week 3,kdrenth@ccorpusa.com,18397
BRC-rbz02 week 2,rebecca.cherman@captrust.com,18075
BRC-rbz02 week 4,rebecca.cherman@captrust.com,18075
