"Organization","Recurring Template Number","Invoice Profile Contacts","Amount"
"161 Rosa L Parks (Frost Bldg)","00000037904","invoice@swvp.com",988.000
"2525 West End Bldg - Cushman and Wakefield","00000046633","Frederick.oneal@cushwake.com",1196.000
"320 SEVEN SPRINGS WAY BLDG.","00000003196","AP_Nashville@highwoods.com",689.000
"4 Patriots","00000046628","austin.cooke@4patriots.com, ap@4patriots.com",448.500
"5th/3rd Bank","00000046662","53@rubicon.com,rubiconpayables@rubicon.com,Terrell.Tucker@rubicon.com,ap@rubicon.com, invoices@rubicon.com",3510.000
"6th Man Movers","00000003447","jessi@6thmanmovers.com, billing@6thmanmovers.com",715.000
"A2 Advertising","00000003502","dspeer@argretailers.com",312.000
"ABINTRA MONTESSORI SCHOOL","00000003495","business@abintra.org",338.000
"Accent Flowers","00000003497","mary@accentinbrentwood.com",416.000
"Accenture","00000050472","cassandra.a.fuller@accenture.com",338.000
"Acceptance Insurance-ONE","00000004201","KBurton-Ashe@acceptance.com",1092.000
"AccuWorks","00000036270","emily@accuworks.com",338.000
"Acumen Technology","00000039273","accounting@acumentechnoloy.com",442.000
"Advance Financial (Harpeth Financial)","00000049610","billing@af247.com,danetta.mitchell@af247.com, madams@af247.com",1196.000
"Advocacy Trust","00000050410","abaker@advocacytrust.com",416.000
"AECOM","00000048354","kanda.hyde@aecom.com",338.000
"AEG Live","00000009122","eescamilla@aegpresents.com",388.000
"AIRCRAFT SERVICE|INTERNATIONAL GROUP","00000003868","allan.hoke@asig.com, invoices@radiuspoint.com",1118.000
"ALFRED WILLIAMS & COMPANY","00000003500","dalcaraz@alfredwilliams.com",1040.000
"Alto Solutions","00000046871","accountspayable@altoira.com",611.000
"Amedisys","00000050905","eric.courtade@amedisys.com",832.000
"AMERICAN CENTER","00000003505","abynum@cri-us.com",1206.000
"AMERICAN CONSTRUCTORS, INC","00000003506","margiee@americanconstructors.us, mmccall@americanconstructors.us",507.000
"AMERICAN STANDARD (Lixil)","00000003508","baileyl@americanstandard.com",221.000
"Anderson Piping","00000003509","martin@andersonpiping.com",1014.000
"Anecdote, PLC  (formerly Tuck Hinton)","00000046672","dnordquist@anecdotexp.com",520.000
"Apex Systems","00000016277","thoward@apexsystemsinc.com",312.000
"AquAeTeur","00000003512","twilson@aquaeter.com",247.000
"ArcelorMittal North America","00000050740","tracey.riggenbach@arcelormittal.com",338.000
"ARMY RESERVE CENTER","00000003513","wminvoice@onlinecapturecenter.com, aharvey3@wm.com",832.000
"Avant Underwriters (HUB INTERNATIONACORP)","00000005022","HubGlobalSuppliers@hubinternational.com",362.000
"Baker Roofing Company","00000003517","brcapinvoices@bakerroofing.com",312.000
"Banc Card of America","00000003518","emathis@banccard.com",312.000
"Bank Director","00000003519","pburks@bankdirector.com, canthony@bankdirector.com",390.000
"Bank of America","00000046659","ap@rubicon.com, invoices@rubicon.com",1560.000
"BE-Hive, The","00000046943","ben@bethehive.com",1560.000
"Beech High School Environmental Club","00000049201","beech.environmental@gmail.com",120.000
"Belle Meade Mansion Winery (RoadRunner Recycling)","00000049675","Finance@roadrunnerwm.com",2080.000
"BluePearl Veterinary Partners (Mars Vet)","00000003523","utilities@bluepearlvet.com, bills.us@siemens.com, btsemreports.industry@siemens.com",624.000
"Bluwave","00000047981","lhall@bluwave.net",260.000
"BMG Nashville","00000050002","paula.nelson@bmg.com",650.000
"BORMAN ENTERTAINMENT","00000046630","liz.nixon@bormantn.com, cindy@kreesconsulting.com",221.000
"BROOKDALE SENIOR LIVING","00000003169","statements@bsihealthcare.com, fchildress@brookdaleliving.com",910.000
"Brown and Caldwell","00000046627","wraines@brwncald.com,Dpruitt@BrwnCald.com, wraines@brwncald.com",338.000
"Buerger Moseley & Carson","00000050738","jrigsby@buergerlaw.com",377.000
"Buffalo Exchange Ltd","00000046784","accounting@bufex.com",780.000
"Built Technologies, Inc","00000047224","invoices@getbuilt.com, vickie.dalton@getbuilt.com",2106.000
"Bulso PLC","00000045577","tbulso@bulso.com",338.000
"CAA (Creative Artists Agency)","00000033634","nashfacility@caa.com",429.000
"Campaign Monitor","00000004103","khodson@campaignmonitor.com, ap@campaignmonitor.com",910.000
"Capex Cumming","00000041621","ap@ccorpusa.com",1222.000
"CapTrust (CAPFINANCIAL)","00000037896","apinvoices@captrust.com",416.000
"Cardio Partners (DXE MEDICAL)","00000046876","CPRAP@CardioPartners.com",1870.000
"Care Supply Company","00000034872","kmckinzie@caresupplyco.com, Lwinters@caresupplyco.com",338.000
"Centerstone of America","00000003902","CenterstoneAP@centerstone.org",559.000
"Centric Architecture","00000003895","deborkin@centricarchitecture.com",598.000
"Change Healthcare TWO (UHG- United Health Care Group)","00000004102","ap@wasteharmonics.com",338.000
"Chas. Hawkins Co - ONE","00000003916","rweaver@chco.com",299.000
